name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"rowley-a-match-at-midnight","eng000196","Q4658146","Rowley","0","A Match at Midnight","","Comedy","https://texts.earlyprint.org/works/A11151.xml","","","","","1622","23","false","0.9335058564026122","0.9011857707509882","1.098814229249012","several characters","19.82608695652174","2","","","","22","23","6","17","0","0","1","228","1622","5","1","5","0","20603","20153","393","682","536"
"rowley-a-new-wonder-a-woman-never-vexed","eng000198","Q4658551","Rowley","0","A New Wonder, A Woman Never Vexed","","Comedy","https://texts.earlyprint.org/works/A11153.xml","","","","","1611","23","false","0.869247437177172","0.6403162055335968","1.359683794466403","eng000198-mrs-foster|eng000198-robert|eng000198-stephen","14.08695652173913","2","","","","22","23","5","18","0","0","1","162","1611","5","1","5","0","24597","24239","386","43","2740"
"rowley-a-shoemaker-a-gentleman","eng000197","Q4659452","Rowley","0","A Shoemaker a Gentleman","","Comedy","https://texts.earlyprint.org/works/A11152.xml","","","","","1607","35","false","0.8664091134286394","0.6857142857142857","1.3142857142857143","eng000197-barnaby|eng000197-elred-crispinus","23.314285714285713","2","","","","34","35","5","29","1","1","1","408","1607","5","1","5","0","22600","21614","553","114","2131"
"rowley-all-s-lost-by-lust","eng000199","Q4727749","Rowley","0","All's Lost by Lust","","Tragedy","https://texts.earlyprint.org/works/A11155.xml","","","","","1619","21","false","0.8853752747162744","0.8047619047619048","1.1952380952380952","eng000199-antonio|eng000199-lazarillo|eng000199-jacinta","16.095238095238095","2","","","","20","21","5","16","0","0","1","169","1619","5","1","5","0","18125","17132","304","45","2001"
"rowley-the-birth-of-merlin","eng000401","Q6131433","Rowley","0","The Birth of Merlin","","Tragicomedy","https://texts.earlyprint.org/works/A57763.xml","","","","","1608","36","false","0.894149245310362","0.7126984126984127","1.2873015873015874","eng000401-cador|eng000401-edwin","24.944444444444443","2","","","","35","36","6","30","0","1","1","449","1608","5","4","5","0","20986","20129","672","807","251"
"rowley-when-you-see-me-you-know-me","eng000195","Q7992894","Rowley","0","When You See Me You Know Me","","","https://texts.earlyprint.org/works/A11146.xml","","","","","1604","45","false","1","1","1","several characters","44","1","","","","44","45","6","39","0","1","1","990","1604","1","1","0","0","25567","25094","496","269","2145"
"ruggle-ignoramus","eng000537","Q5993016","Ruggle","0","Ignoramus","","","https://texts.earlyprint.org/works/A57850.xml","","","","","1662","0","false","","","","","","","","","1662","","0","0","0","0","0","","","","55","2","5","53","48307","43522","532","2462","49"
"rutter-the-shepherds-holiday","eng000200","","Rutter","0","The Shepherds' Holiday","","Tragicomedy","https://texts.earlyprint.org/works/A11205.xml","","","","","1633","19","false","0.8166173008278271","0.3684210526315789","1.695906432748538","eng000200-mirtillus","6.631578947368421","3","","","","16","19","6","12","1","1","1","63","1633","22","","5","22","22131","19632","145","165","2306"
"s-the-honest-lawyer","eng000414","","S.","0","The Honest Lawyer","","Comedy","https://texts.earlyprint.org/works/A68683.xml","","","","","1614","19","false","0.9776401788785689","0.9707602339181286","1.0292397660818713","several characters","17.473684210526315","2","","","","18","19","3","16","0","0","1","166","1614","5","","5","0","22772","22235","457","620","1404"
"s-thomas-lord-cromwell","eng000203","Q4383488","S.","0","Thomas Lord Cromwell","","","https://texts.earlyprint.org/works/A11265.xml","","","","","1599","38","false","1","1","1","several characters","37","1","","","","37","38","1","35","4","2","1","703","1599","1","7","0","0","15067","14459","646","156","1419"
"sampson-the-vow-breaker","eng000204","","Sampson","0","The Vow Breaker, or The Fair Maid of Clifton","","Comedy","https://texts.earlyprint.org/works/A11435.xml","","","","","1625","27","false","0.914215477617012","0.8461538461538461","1.1538461538461537","several characters","22","2","","","","26","27","7","20","0","3","1","297","1625","5","","5","5","20004","18754","410","248","1615"
"saunders-tamerlane-the-great","eng000722","","Saunders","0","Tamerlane the Great","","","https://texts.earlyprint.org/works/A62223.xml","","","","","1681","0","false","","","","","","","","","1681","","0","0","0","0","0","","","","5","","5","0","19598","16512","537","0","2099"
"sedley-antony-and-cleopatra","eng000704","","Sedley","0","Antony and Cleopatra","","","https://texts.earlyprint.org/works/A59051.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","12","","5","12","20110","18922","533","0","2240"
"sedley-bellamira","eng000545","","Sedley","0","Bellamira, or The Mistress","","","https://texts.earlyprint.org/works/A59053.xml","","","","","1687","0","false","","","","","","","","","1687","","0","0","0","0","0","","","","5","","5","0","26140","24814","280","1220","56"
"sedley-the-mulberry-garden","eng000546","Q7752608","Sedley","0","The Mulberry Garden","","","https://texts.earlyprint.org/works/A59056.xml","","","","","1668","0","false","","","","","","","","","1668","","0","0","0","0","0","","","","11","1","5","11","22408","21199","553","1","2636"
"seneca-agamemnon","eng000634","Q15059087","Seneca","0","Agamemnon","","Tragedy","https://texts.earlyprint.org/works/A11909_08.xml","","","","","1566","1","false","0","0","0","eng000634-A11909","0","0","","","","0","1","0","0","0","0","1","0","1566","7","9","5","4","14187","8243","31","0","770"
"seneca-hercules-furens","eng000627","Q3785162","Seneca","0","Hercules Furens","","Tragedy","https://texts.earlyprint.org/works/A11909_01.xml","","","","","1561","1","false","0","0","0","eng000627-A11909","0","0","","","","0","1","0","0","0","0","1","0","1561","4","10","5","0","14548","9407","25","0","895"
"seneca-hercules-oetaeus","eng000636","Q3785160","Seneca","0","Hercules Oetaeus","","Tragedy","https://texts.earlyprint.org/works/A11909_10.xml","","","","","1566","1","false","0","0","0","eng000636-A11909","0","0","","","","0","1","0","0","0","0","1","0","1566","4","8","5","0","22551","14118","29","0","1277"
"seneca-hippolytus","eng000630","Q777435","Seneca","0","Hippolytus","","Tragedy","https://texts.earlyprint.org/works/A11909_04.xml","","","","","1567","1","false","0","0","0","eng000630-A11909","0","0","","","","0","1","0","0","0","0","1","0","1567","5","10","5","1","15574","13479","23","0","1328"
"seneca-medea","eng000633","Q3332727","Seneca","0","Medea","","Tragedy","https://texts.earlyprint.org/works/A11909_07.xml","","","","","1566","1","false","0","0","0","eng000633-A11909","0","0","","","","0","1","0","0","0","0","1","0","1566","3","9","5","0","15627","7582","26","0","707"
"seneca-octavia","eng000635","Q646990","Seneca","0","Octavia","","Tragedy","https://texts.earlyprint.org/works/A11909_09.xml","","","","","1566","1","false","0","0","0","eng000635-A11909","0","0","","","","0","1","0","0","0","0","1","0","1566","15","10","4","15","11918","6633","25","0","879"
"seneca-oedipus","eng000631","Q972143","Seneca","0","Oedipus","","Tragedy","https://texts.earlyprint.org/works/A11909_05.xml","","","","","1560","1","false","0","0","0","eng000631-A11909","0","0","","","","0","1","0","0","0","0","1","0","1560","8","8","5","7","14455","10866","29","0","977"
"seneca-thebais","eng000629","Q15427808","Seneca","0","Thebais","","Tragedy","https://texts.earlyprint.org/works/A11909_03.xml","","","","","1581","1","false","0","0","0","eng000629-A11909","0","0","","","","0","1","0","0","0","0","1","0","1581","4","9","4","0","12184","9811","12","0","875"
"seneca-thyestes","eng000628","Q3990982","Seneca","0","Thyestes","","Tragedy","https://texts.earlyprint.org/works/A11909_02.xml","","","","","1560","1","false","0","0","0","eng000628-A11909","0","0","","","","0","1","0","0","0","0","1","0","1560","8","10","5","4","12765","9887","23","0","983"
"seneca-troades","eng000705","","Seneca","0","Troades, or The Royal Captives","","","https://texts.earlyprint.org/works/A59189.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","8","","5","8","31515","26214","9","32","1438"
"seneca-troas","eng000632","Q3999195","Seneca","0","Troas","","Tragedy","https://texts.earlyprint.org/works/A11909_06.xml","","","","","1558","1","false","0","0","0","eng000632-A11909","0","0","","","","0","1","0","0","0","0","1","0","1558","9","11","5","6","15605","9063","47","0","822"
"settle-cambyses-king-of-persia","eng000707","Q107608612","Settle","0","Cambyses, King of Persia","","","https://texts.earlyprint.org/works/A59295.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","20","1","5","20","27750","24595","1723","1","2925"
"settle-fatal-love","eng000710","","Settle","0","Fatal Love, or The Forced Inconstancy","","","https://texts.earlyprint.org/works/A59311.xml","","","","","1680","0","false","","","","","","","","","1680","","0","0","0","0","0","","","","5","","5","0","17121","15118","309","136","1715"
"settle-ibrahim-the-illustrious-bassa","eng000712","","Settle","0","Ibrahim, the Illustrious Bassa","","","https://texts.earlyprint.org/works/A59320.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","5","","5","0","25249","23570","522","0","2789"
"settle-love-and-revenge","eng000713","Q107694250","Settle","0","Love and Revenge","","","https://texts.earlyprint.org/works/A59324.xml","","","","","1675","0","false","","","","","","","","","1675","","0","0","0","0","0","","","","9","1","5","7","24178","21837","671","6","2725"
"settle-pastor-fido","eng000751","","Settle","0","Pastor Fido, or The Faithful Shepherd","","","https://texts.earlyprint.org/works/A59332.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","11","","5","7","20469","18599","406","155","2104"
"settle-the-ambitious-slave","eng000706","","Settle","0","The Ambitious Slave, or A Generous Revenge","","","https://texts.earlyprint.org/works/A59288.xml","","","","","1694","0","false","","","","","","","","","1694","","0","0","0","0","0","","","","5","","5","0","19618","18246","336","2","2286"
"settle-the-conquest-of-china-by-the-tartars","eng000708","","Settle","0","The Conquest of China by the Tartars","","","https://texts.earlyprint.org/works/A59304.xml","","","","","1676","0","false","","","","","","","","","1676","","0","0","0","0","0","","","","9","","5","8","22694","21139","801","87","2369"
"settle-the-empress-of-morocco","eng000709","","Settle","0","The Empress of Morocco","","","https://texts.earlyprint.org/works/A59307.xml","","","","","1673","0","false","","","","","","","","","1673","","0","0","0","0","0","","","","15","","5","9","22192","19588","1190","90","2151"
"settle-the-female-prelate","eng000711","","Settle","0","The Female Prelate, Being the History of the Life and Death of Pope Joan","","","https://texts.earlyprint.org/works/A59312.xml","","","","","1680","0","false","","","","","","","","","1680","","0","0","0","0","0","","","","7","","5","2","22264","20192","544","241","2243"
"settle-the-heir-of-morocco","eng000603","","Settle","0","The Heir of Morocco, with the Death of Gayland","","","https://texts.earlyprint.org/works/A59315.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","5","","5","2","16865","15069","347","0","1862"
"settle-the-world-in-the-moon","eng000622","","Settle","0","The World in the Moon","","","https://texts.earlyprint.org/works/A59356.xml","","","","","1697","0","false","","","","","","","","","1697","","0","0","0","0","0","","","","13","","5","0","19129","17181","1113","624","615"
"shadwell-a-true-widow","eng000555","Q107969348","Shadwell","0","A True Widow","","","https://texts.earlyprint.org/works/A59460.xml","","","","","1679","0","false","","","","","","","","","1679","","0","0","0","0","0","","","","5","1","5","0","33118","30632","922","1398","56"
"shadwell-bury-fair","eng000547","Q107970249","Shadwell","0","Bury Fair","","","https://texts.earlyprint.org/works/A59411.xml","","","","","1689","0","false","","","","","","","","","1689","","0","0","0","0","0","","","","5","1","5","0","31962","29431","1173","1241","42"
"shadwell-epsom-wells","eng000548","Q104855071","Shadwell","0","Epsom Wells","","","https://texts.earlyprint.org/works/A59419.xml","","","","","1673","0","false","","","","","","","","","1673","","0","0","0","0","0","","","","5","1","5","0","33662","31075","1125","1481","72"
"shadwell-psyche","eng000715","Q7256194","Shadwell","0","Psyche","","","https://texts.earlyprint.org/works/A59443.xml","","","","","1675","0","false","","","","","","","","","1675","","0","0","0","0","0","","","","5","1","5","0","21075","16426","2288","1","2047"
"shadwell-the-humorists","eng000549","","Shadwell","0","The Humorists","","","https://texts.earlyprint.org/works/A59427.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","5","","5","0","29959","24788","842","1221","22"
"shadwell-the-lancashire-witches-and-tegue-o-divelly","eng000550","","Shadwell","0","The Lancashire Witches, and Tegue O'Divelly the Irish Priest","","","https://texts.earlyprint.org/works/A59429.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","6","","5","0","38190","34356","1494","1159","570"
"shadwell-the-libertine","eng000714","Q28457734","Shadwell","0","The Libertine","","","https://texts.earlyprint.org/works/A59432.xml","","","","","1676","53","false","0.8938755153470813","0.4847605224963715","1.5152394775036284","several characters","25.20754716981132","2","","","1676","52","53","22","22","10","11","1","668","","11","1","5","3","28759","25521","1014","1206","455"
"shadwell-the-miser","eng000551","","Shadwell","0","The Miser","","","https://texts.earlyprint.org/works/A59437.xml","","","","","1672","0","false","","","","","","","","","1672","","0","0","0","0","0","","","","5","","5","0","31840","29674","945","1472","21"
"shadwell-the-royal-shepherdess","eng000752","","Shadwell","0","The Royal Shepherdess","","","https://texts.earlyprint.org/works/A59445.xml","","","","","1669","0","false","","","","","","","","","1669","","0","0","0","0","0","","","","5","","4","1","12540","11235","292","172","944"
"shadwell-the-scowrers","eng000552","","Shadwell","0","The Scowrers","","","https://texts.earlyprint.org/works/A59450.xml","","","","","1691","0","false","","","","","","","","","1691","","0","0","0","0","0","","","","5","","5","0","27649","26048","1545","592","694"
"shadwell-the-squire-of-alsatia","eng000553","Q104841704","Shadwell","0","The Squire of Alsatia","","","https://texts.earlyprint.org/works/A59452.xml","","","","","1688","0","false","","","","","","","","","1688","","0","0","0","0","0","","","","5","1","5","0","33973","30793","1221","1268","17"
"shadwell-the-sullen-lovers","eng000554","Q25384259","Shadwell","0","The Sullen Lovers, or The Impertinents","","","https://texts.earlyprint.org/works/A59456.xml","","","","","1668","0","false","","","","","","","","","1668","","0","0","0","0","0","","","","5","2","5","0","35125","31616","958","1190","583"
"shadwell-the-virtuoso","eng000556","Q7772848","Shadwell","0","The Virtuoso","","","https://texts.earlyprint.org/works/A59463.xml","","","","","1676","0","false","","","","","","","","","1676","","0","0","0","0","0","","","","10","1","5","5","34557","32061","807","1343","13"
"shadwell-the-woman-captain","eng000557","Q107969388","Shadwell","0","The Woman Captain","","","https://texts.earlyprint.org/works/A59466.xml","","","","","1680","0","false","","","","","","","","","1680","","0","0","0","0","0","","","","5","1","5","0","27892","25535","991","1288","47"
"sharpham-cupid-s-whirligig","eng000207","Q5194492","Sharpham","0","Cupid's Whirligig","","Comedy","https://texts.earlyprint.org/works/A12074.xml","","","","","1607","21","false","0.9230402687390745","0.8333333333333334","1.1666666666666667","several characters","16.666666666666668","2","","","","20","21","4","17","0","0","1","175","1607","5","1","5","5","24885","23434","431","936","119"
"sharpham-the-fleer","eng000208","","Sharpham","0","The Fleer","","Comedy","https://texts.earlyprint.org/works/A12078.xml","","","","","1606","20","false","0.9080746738641476","0.8368421052631579","1.1631578947368422","several characters","15.9","2","","","","19","20","5","15","0","1","1","159","1606","5","","5","1","17659","17006","335","874","77"
"shipman-henry-iii-of-france","eng000718","","Shipman","0","Henry III of France, Stabbed by a Friar, with the Fall of the Guise","","","https://texts.earlyprint.org/works/A59968.xml","","","","","1678","0","false","","","","","","","","","1678","","0","0","0","0","0","","","","16","","5","16","26548","22237","1432","0","2601"
"shirley-changes","eng000211","","Shirley","0","Changes, or Love in a Maze","","Comedy","https://texts.earlyprint.org/works/A12129.xml","","","","","1632","17","false","0.9308338720103426","0.8897058823529411","1.1102941176470589","several characters","14.235294117647058","2","","","","16","17","5","12","0","0","1","121","1632","5","","5","0","21559","20583","395","161","2352"
"shirley-hyde-park","eng000217","","Shirley","0","Hyde Park","","Comedy","https://texts.earlyprint.org/works/A12140.xml","","","","","1632","21","false","0.921027315764158","0.861904761904762","1.138095238095238","several characters","17.238095238095237","2","","","","20","21","5","16","0","2","1","181","1632","5","","5","0","18080","17478","351","5","2369"
"shirley-love-s-cruelty","eng000220","Q16931390","Shirley","0","Love's Cruelty","","Tragedy","https://texts.earlyprint.org/works/A12143.xml","","","","","1631","17","false","0.9096741493800318","0.8455882352941176","1.1544117647058822","several characters","13.529411764705882","2","","","","16","17","3","14","0","0","1","115","1631","5","1","5","0","17956","17611","204","113","1860"
"shirley-saint-patrick-for-ireland-1","eng000225","","Shirley","0","1 Saint Patrick for Ireland","","Comedy","https://texts.earlyprint.org/works/A12151.xml","","","","","1639","27","false","0.8805404788387396","0.7094017094017094","1.2905982905982907","several characters","18.444444444444443","2","","","","26","27","4","22","1","0","1","249","1639","5","","5","0","18470","17814","408","411","1705"
"shirley-the-arcadia","eng000223","Q7714150","Shirley","0","The Arcadia","","Tragicomedy","https://texts.earlyprint.org/works/A12149.xml","","","","","1640","21","false","0.9191860369878946","0.8571428571428571","1.1428571428571428","several characters","17.142857142857142","2","","","","20","21","5","16","0","0","1","180","1640","5","1","5","0","19237","18849","306","235","1830"
"shirley-the-ball","eng000285","Q7715386","Shirley","0","The Ball","","Comedy","https://texts.earlyprint.org/works/A18427.xml","","","","","1632","19","false","0.9205687673179933","0.8538011695906432","1.1461988304093567","several characters","15.368421052631579","2","","","","18","19","6","13","0","0","1","146","1632","5","1","5","0","19184","18911","285","581","2020"
"shirley-the-bird-in-a-cage","eng000210","Q7718068","Shirley","0","The Bird in a Cage","","Comedy","https://texts.earlyprint.org/works/A12128.xml","","","","","1633","24","false","0.9050286934284614","0.8333333333333334","1.1666666666666667","several characters","19.166666666666668","2","","","","23","24","7","18","0","2","1","230","1633","5","1","5","5","20858","19982","310","777","1070"
"shirley-the-brothers","eng000429","Q16931028","Shirley","0","The Brothers","","Comedy","https://texts.earlyprint.org/works/A93166.xml","","","","","1652","17","false","1","1","1","several characters","16","1","","","","16","17","4","13","0","0","1","136","1652","5","1","5","0","19347","18667","299","1","2483"
"shirley-the-cardinal","eng000430","Q7721343","Shirley","0","The Cardinal","","Tragedy","https://texts.earlyprint.org/works/A93167.xml","","","","","1641","31","false","0.85374000733565","0.6752688172043011","1.346236559139785","several characters","20.258064516129032","3","","","","29","31","5","26","0","2","1","314","1641","6","1","5","0","18591","17331","475","41","2237"
"shirley-the-constant-maid","eng000212","Q7727420","Shirley","0","The Constant Maid","","Comedy","https://texts.earlyprint.org/works/A12130.xml","","","","","1638","30","false","0.8765214430599826","0.6735632183908046","1.3264367816091953","several characters","19.533333333333335","2","","","","29","30","4","26","0","1","1","293","1638","5","1","5","0","17640","17283","385","383","1898"
"shirley-the-contention-for-honor-and-riches","eng000213","Q4656090","Shirley","0","The Contention for Honor and Riches","","Tragicomedy","https://texts.earlyprint.org/works/A12131.xml","","","","","1631","7","false","1","1","1","several characters","6","1","","","","6","7","2","5","0","0","1","21","1631","1","1","0","0","6307","5983","60","55","573"
"shirley-the-court-secret","eng000406","Q16828249","Shirley","0","The Court Secret","","Tragicomedy","https://texts.earlyprint.org/works/A59992_06.xml","","","","","1642","18","false","0.9312286025521321","0.9019607843137255","1.0980392156862746","several characters","15.333333333333334","2","","","","17","18","3","15","0","0","1","138","1642","5","1","5","0","20110","19231","399","1","2607"
"shirley-the-doubtful-heir","eng000431","Q7730757","Shirley","0","The Doubtful Heir","","Tragicomedy","https://texts.earlyprint.org/works/A93170.xml","","","","","1638","21","false","0.9092309888417803","0.8333333333333334","1.1666666666666667","several characters","16.666666666666668","2","","","","20","21","3","18","0","1","1","175","1638","5","1","5","0","20009","19019","369","68","2381"
"shirley-the-duke-s-mistress","eng000214","Q7731164","Shirley","0","The Duke's Mistress","","Comedy","https://texts.earlyprint.org/works/A12135.xml","","","","","1636","19","false","0.9278650056513836","0.8830409356725146","1.1169590643274854","several characters","15.894736842105264","2","","","","18","19","7","12","0","1","1","151","1636","5","1","5","0","19484","18919","294","1","2584"
"shirley-the-example","eng000215","Q7732739","Shirley","0","The Example","","Comedy","https://texts.earlyprint.org/works/A12136.xml","","","","","1634","19","false","0.9437048503611969","0.9064327485380117","1.0935672514619883","several characters","16.31578947368421","2","","","","18","19","5","13","1","0","1","155","1634","6","1","5","0","19599","18810","415","14","2436"
"shirley-the-gamester","eng000216","Q7735747","Shirley","0","The Gamester","","Comedy","https://texts.earlyprint.org/works/A12137.xml","","","","","1633","23","false","0.9090487495185302","0.83399209486166","1.1660079051383399","several characters","18.347826086956523","2","","","","22","23","4","19","0","0","1","211","1633","5","1","5","0","21644","21391","302","72","2629"
"shirley-the-gentleman-of-venice","eng000403","Q7736139","Shirley","0","The Gentleman of Venice","","Comedy","https://texts.earlyprint.org/works/A59979.xml","","","","","1639","24","false","0.9142447444271377","0.8442028985507246","1.1557971014492754","several characters","19.416666666666668","2","","","","23","24","4","20","0","2","1","233","1639","5","1","5","0","19564","18792","476","410","2146"
"shirley-the-humorous-courtier","eng000218","Q7740925","Shirley","0","The Humorous Courtier","","Comedy","https://texts.earlyprint.org/works/A12141.xml","","","","","1631","16","false","0.9738095238095238","0.9666666666666667","1.0333333333333334","several characters","14.5","2","","","","15","16","3","13","0","2","1","116","1631","5","1","5","0","17605","17395","337","4","2383"
"shirley-the-impostor","eng000405","","Shirley","0","The Impostor","","Tragicomedy","https://texts.earlyprint.org/works/A59992_04.xml","","","","","1640","19","false","0.9275541795665632","0.8596491228070176","1.1403508771929824","several characters","15.473684210526315","2","","","","18","19","6","13","0","0","1","147","1640","5","","5","0","20923","19834","413","25","2555"
"shirley-the-lady-of-pleasure","eng000219","Q7745187","Shirley","0","The Lady of Pleasure","","Comedy","https://texts.earlyprint.org/works/A12142.xml","","","","","1635","16","false","0.9391025641025642","0.9166666666666666","1.0833333333333333","several characters","13.75","2","","","","15","16","6","10","0","0","1","110","1635","5","2","5","0","22137","21741","245","3","3010"
"shirley-the-maid-s-revenge","eng000221","Q16932010","Shirley","0","The Maid's Revenge","","Tragedy","https://texts.earlyprint.org/works/A12145.xml","","","","","1626","18","false","0.9449074074074074","0.8888888888888888","1.1111111111111112","several characters","15.11111111111111","2","","","","17","18","5","13","0","0","1","136","1626","5","1","5","5","19394","18618","407","94","2031"
"shirley-the-martyred-soldier","eng000209","","Shirley","0","The Martyred Soldier","","Tragedy","https://texts.earlyprint.org/works/A12127.xml","","","","","1618","28","false","0.8806678495365688","0.7248677248677249","1.2751322751322751","several characters","19.571428571428573","2","","","","27","28","2","25","1","4","1","274","1618","5","","5","1","18578","17265","415","361","1753"
"shirley-the-opportunity","eng000222","Q7755219","Shirley","0","The Opportunity","","Tragedy","https://texts.earlyprint.org/works/A12148.xml","","","","","1634","18","false","0.9595315904139431","0.9411764705882353","1.0588235294117647","several characters","16","2","","","","17","18","4","14","0","0","1","144","1634","5","1","5","1","19939","19534","296","446","2076"
"shirley-the-politician","eng000404","Q7757674","Shirley","0","The Politician","","Tragedy","https://texts.earlyprint.org/works/A59990.xml","","","","","1639","23","false","0.9493866418351545","0.924901185770751","1.075098814229249","several characters","20.347826086956523","2","","","","22","23","2","21","0","0","1","234","1639","5","1","5","0","19324","18648","418","1","2576"
"shirley-the-royal-master","eng000224","Q7761707","Shirley","0","The Royal Master","","Comedy","https://texts.earlyprint.org/works/A12150.xml","","","","","1637","19","false","0.9284940291906238","0.8947368421052632","1.105263157894737","several characters","16.105263157894736","2","","","","18","19","5","14","0","0","1","153","1637","5","1","5","0","20847","18711","265","0","2614"
"shirley-the-school-of-compliment","eng000226","","Shirley","0","The School of Compliment","","Comedy","https://texts.earlyprint.org/works/A12152.xml","","","","","1625","25","false","0.9134255599472992","0.8066666666666666","1.1933333333333334","several characters","19.36","2","","","","24","25","6","18","1","0","1","242","1625","5","","5","5","23512","22509","351","636","892"
"shirley-the-sisters","eng000432","Q7764538","Shirley","0","The Sisters","","Tragicomedy","https://texts.earlyprint.org/works/A93178.xml","","","","","1642","30","false","0.925357744001422","0.8344827586206897","1.1655172413793105","several characters","24.2","2","","","","29","30","5","25","0","1","1","363","1642","5","1","5","0","15633","14521","336","0","1954"
"shirley-the-traitor","eng000227","Q7769917","Shirley","0","The Traitor","","Tragedy","https://texts.earlyprint.org/works/A12154.xml","","","","","1631","23","false","0.9292721020174244","0.8774703557312253","1.1225296442687747","several characters","19.304347826086957","2","","","","22","23","4","19","0","0","1","222","1631","5","1","5","0","21110","20284","481","486","2082"
"shirley-the-triumph-of-peace","eng000433","Q7770291","Shirley","0","The Triumph of Peace","","","https://texts.earlyprint.org/works/B07101.xml","","","","","1633","23","false","1","1","1","several characters","22","1","","","","22","23","10","13","0","1","1","253","1633","6","1","0","0","6312","2416","113","14","322"
"shirley-the-wedding","eng000228","Q7774037","Shirley","0","The Wedding","","Comedy","https://texts.earlyprint.org/works/A12155.xml","","","","","1626","19","false","0.9753181974544205","0.9707602339181286","1.0292397660818713","several characters","17.473684210526315","2","","","","18","19","4","15","0","1","1","166","1626","6","1","5","0","20717","19679","395","329","1994"
"shirley-the-witty-fair-one","eng000229","Q7775343","Shirley","0","The Witty Fair One","","Comedy","https://texts.earlyprint.org/works/A12157.xml","","","","","1628","22","false","0.9345437457279563","0.9047619047619048","1.0952380952380953","several characters","19","2","","","","21","22","4","18","0","0","1","209","1628","5","1","5","5","20873","20117","371","910","704"
"shirley-the-young-admiral","eng000230","Q7776732","Shirley","0","The Young Admiral","","Tragicomedy","https://texts.earlyprint.org/works/A12158.xml","","","","","1633","22","false","0.9144251560273232","0.8225108225108225","1.1774891774891776","several characters","17.272727272727273","2","","","","21","22","3","19","0","1","1","190","1633","5","1","5","0","19774","19328","598","504","1894"
"smith-smith-the-hector-of-germany","eng000231","","Smith","1","The Hector of Germany, or The Palsgrave, Prime Elector","","Tragedy","https://texts.earlyprint.org/works/A12548.xml","","","","","1614","32","false","1","1","1","several characters","31","1","","","","31","32","4","28","0","0","1","496","1614","1","","0","0","17439","15889","833","144","1769"
"southerne-oroonoko","eng000720","","Southerne","0","Oroonoko","","","https://texts.earlyprint.org/works/A60965.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","15","","5","15","27164","25268","1050","507","1645"
"southerne-the-fatal-marriage","eng000604","","Southerne","0","The Fatal Marriage, or The Innocent Adultery","","","https://texts.earlyprint.org/works/A60959.xml","","","","","1694","0","false","","","","","","","","","1694","","0","0","0","0","0","","","","13","","5","13","26131","23909","1001","514","1599"
"southerne-the-loyal-brother","eng000719","","Southerne","0","The Loyal Brother, or The Persian Prince","","","https://texts.earlyprint.org/works/A60961.xml","","","","","1682","0","false","","","","","","","","","1682","","0","0","0","0","0","","","","12","","5","12","20146","18399","405","42","2129"
"southerne-the-maid-s-last-prayer","eng000561","","Southerne","0","The Maid's Last Prayer, or Any Rather Than Fail","","","https://texts.earlyprint.org/works/A60964.xml","","","","","1693","0","false","","","","","","","","","1693","","0","0","0","0","0","","","","12","","5","12","27119","23940","761","1416","162"
"southerne-the-wives-excuse","eng000562","","Southerne","0","The Wives' Excuse, or Cuckolds Make Themselves","","","https://texts.earlyprint.org/works/A60971.xml","","","","","1692","0","false","","","","","","","","","1692","","0","0","0","0","0","","","","11","","5","11","28187","26956","865","332","1417"
"st-serfe-tarugo-s-wiles","eng000564","","St Serfe","0","Tarugo's Wiles, or The Coffee-House","","","https://texts.earlyprint.org/works/A62083.xml","","","","","1668","0","false","","","","","","","","","1668","","0","0","0","0","0","","","","10","","5","8","22546","21136","831","915","0"
"stapylton-hero-and-leander","eng000721","","Stapylton","0","Hero and Leander","","","https://texts.earlyprint.org/works/A61311.xml","","","","","1669","0","false","","","","","","","","","1669","","0","0","0","0","0","","","","6","","5","0","14001","12893","592","240","1375"
"stapylton-the-slighted-maid","eng000563","Q107524227","Stapylton","0","The Slighted Maid","","","https://texts.earlyprint.org/works/A61309.xml","","","","","1663","0","false","","","","","","","","","1663","","0","0","0","0","0","","","","5","1","5","0","21963","20375","1164","0","2620"
