name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"dekker-old-fortunatus","eng000313","Q4441155","Dekker","0","Old Fortunatus","","Comedy","https://texts.earlyprint.org/works/A20076.xml","","","","","1599","35","false","0.9834988540870894","0.9092436974789916","1.0907563025210083","several characters","30.914285714285715","2","","","","34","35","5","29","1","4","1","541","1599","2","2","0","0","25793","24900","828","375","1833"
"dekker-rowley-ford-the-witch-of-edmonton","eng000402","Q7775295","Dekker","2","The Witch of Edmonton","","Tragicomedy","https://texts.earlyprint.org/works/A57764.xml","","","","","1621","30","false","0.8740002753527719","0.6735632183908046","1.3264367816091953","eng000402-dog","19.533333333333335","2","","","","29","30","5","25","0","0","1","293","1621","8","4","5","8","21831","21478","490","266","1547"
"dekker-satiromastix","eng000315","","Dekker","0","Satiromastix, or The Untrussing of the Humorous Poet","","Comedy","https://texts.earlyprint.org/works/A20081.xml","","","","","1601","26","false","1","1","1","several characters","25","1","","","","25","26","9","17","0","3","1","325","1601","2","","0","0","24839","23472","622","616","941"
"dekker-the-honest-whore-2","eng000311","","Dekker","0","2 The Honest Whore","","Comedy","https://texts.earlyprint.org/works/A20065.xml","","","","","1605","32","false","1","1","1","several characters","31","1","","","","31","32","7","25","0","1","1","496","1605","1","","1","0","25557","25461","500","388","1624"
"dekker-the-noble-spanish-soldier","eng000194","Q7754258","Dekker","0","The Noble Spanish Soldier","","Tragedy","https://texts.earlyprint.org/works/A11145.xml","","","","","1622","20","false","0.9553663570691434","0.9421052631578948","1.0578947368421052","several characters","17.9","2","","","","19","20","3","17","0","1","1","179","1622","6","1","5","5","15647","14954","434","139","1579"
"dekker-the-shoemaker-s-holiday","eng000316","Q7763896","Dekker","0","The Shoemaker's Holiday","","Comedy","https://texts.earlyprint.org/works/A20083.xml","","","","","1599","26","false","1","1","1","several characters","25","1","","","","25","26","4","22","1","1","1","325","1599","1","3","0","0","20596","19475","500","614","854"
"dekker-the-whore-of-babylon","eng000581","","Dekker","0","The Whore of Babylon","","","https://texts.earlyprint.org/works/A20092.xml","","","","","1607","0","false","","","","","","","","","1607","","0","0","0","0","0","","","","1","","0","0","24046","22418","543","38","2627"
"dekker-the-wonder-of-a-kingdom","eng000318","","Dekker","0","The Wonder of A Kingdom","","Comedy","https://texts.earlyprint.org/works/A20093.xml","","","","","1631","35","false","0.86751717221578","0.6739495798319328","1.3260504201680672","eng000318-nicoletto|eng000318-alphonsina","22.914285714285715","2","","","","34","35","5","30","0","1","1","401","1631","5","","5","0","17128","16685","490","76","1768"
"dekker-webster-northward-ho","eng000320","Q7059884","Dekker","1","Northward Ho","","Comedy","https://texts.earlyprint.org/works/A20098.xml","","","","","1605","29","false","0.8706578046668837","0.6576354679802956","1.3423645320197044","several characters","18.413793103448278","2","","","","28","29","4","27","0","1","1","267","1605","5","1","1","0","22491","22205","347","970","96"
"dekker-webster-the-famous-history-of-sir-thomas-wyatt","eng000319","Q27956346","Dekker","1","The Famous History of Sir Thomas Wyatt","","","https://texts.earlyprint.org/works/A20096.xml","","","","","1602","33","false","1","1","1","several characters","32","1","","","","32","33","2","30","1","2","1","528","1602","1","2","0","0","11953","11579","389","237","1144"
"dekker-webster-westward-ho","eng000321","Q7989807","Dekker","1","Westward Ho","","Comedy","https://texts.earlyprint.org/works/A20100.xml","","","","","1604","32","false","0.8645338332606047","0.5826612903225806","1.4173387096774193","eng000321-tenterhook","18.0625","2","","","","30","32","7","25","0","1","1","289","1604","7","1","5","7","24172","23729","408","959","198"
"denham-the-sophy","eng000373","","Denham","0","The Sophy","","Tragedy","https://texts.earlyprint.org/works/A35657.xml","","","","","1642","21","false","0.8793686533624614","0.7619047619047619","1.2380952380952381","several characters","15.238095238095237","2","","","","20","21","2","19","0","2","1","160","1642","6","","5","4","19621","19105","381","0","2414"
"dennis-iphigenia","eng000660","","Dennis","0","Iphigenia","","","https://texts.earlyprint.org/works/A35670.xml","","","","","1700","0","false","","","","","","","","","1700","","0","0","0","0","0","","","","10","","5","0","21204","17388","380","337","2028"
"dennis-rinaldo-and-armida","eng000661","Q107645698","Dennis","0","Rinaldo and Armida","","","https://texts.earlyprint.org/works/A35680.xml","","","","","1699","0","false","","","","","","","","","1699","","0","0","0","0","0","","","","5","1","5","0","15716","12758","358","141","1511"
"desfontaines-the-cid-2","eng000734","","Desfontaines","0","2 The Cid","","Tragicomedy","https://texts.earlyprint.org/works/A19347.xml","","","","","1637","13","false","0.8467643467643468","0.5769230769230769","1.4230769230769231","eng000734-cimena","6.923076923076923","2","","","","12","13","0","0","0","0","1","45","1637","24","","5","24","12838","11957","135","0","1484"
"digby-elvira","eng000457","","Digby","0","Elvira, or The Worst Not Always True","","","https://texts.earlyprint.org/works/A29556.xml","","","","","1667","0","false","","","","","","","","","1667","","0","0","0","0","0","","","","5","","5","0","24339","24098","2712","2","2624"
"dilke-the-lover-s-luck","eng000472","","Dilke","0","The Lover's Luck","","","https://texts.earlyprint.org/works/A36011.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","11","","5","11","23387","21120","552","671","4"
"doggett-the-country-wake","eng000473","Q111010007","Doggett","0","The Country Wake","","","https://texts.earlyprint.org/works/A36266.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","11","0","5","11","23509","21546","657","884","10"
"dolce-jocasta","eng000625","Q111029659","Dolce","0","Jocasta","","Tragedy","https://texts.earlyprint.org/works/A01513_02.xml","","","","","1566","1","false","0","0","0","eng000625-A01513","0","0","","","","0","1","0","0","0","0","1","0","1566","11","0","5","11","24290","20083","359","0","2501"
"drake-the-sham-lawyer","eng000474","","Drake","0","The Sham Lawyer, or The Lucky Extravagant","","","https://texts.earlyprint.org/works/A36513.xml","","","","","1697","0","false","","","","","","","","","1697","","0","0","0","0","0","","","","5","","5","1","30234","28333","685","769","11"
"drue-the-duchess-of-suffolk","eng000322","","Drue","0","The Duchess of Suffolk","","","https://texts.earlyprint.org/works/A20866.xml","","","","","1631","53","false","0.8827830502234391","0.49709724238026126","1.5029027576197387","several characters","25.849056603773583","2","","","","52","53","3","51","0","1","1","685","1631","5","","5","0","17974","17295","641","13","2128"
"dryden-albion-albanius","eng000614","Q4712570","Dryden","0","Albion Albanius","","","https://texts.earlyprint.org/works/A36588.xml","","","","","1685","0","false","","","","","","","","","1685","","0","0","0","0","0","","","","23","1","3","23","10375","4945","1595","0","812"
"dryden-amboyna","eng000662","","Dryden","0","Amboyna, or The Cruelties of the Dutch to the English Merchants","","","https://texts.earlyprint.org/works/A36594.xml","","","","","1673","0","false","","","","","","","","","1673","","0","0","0","0","0","","","","7","","5","7","23013","20499","672","759","41"
"dryden-amphitryon","eng000577","","Dryden","0","Amphitryon, or The Two Socias","","","https://texts.earlyprint.org/works/A69867.xml","","","","","1690","0","false","","","","","","","","","1690","","0","0","0","0","0","","","","7","","4","3","28662","24457","889","759","701"
"dryden-an-evening-s-love","eng000475","Q4749938","Dryden","0","An Evening's Love, or The Mock Astrologer","","","https://texts.earlyprint.org/works/A36622.xml","","","","","1671","0","false","","","","","","","","","1671","","0","0","0","0","0","","","","6","1","5","2","36048","29004","1006","1024","365"
"dryden-aureng-zebe","eng000663","Q2871881","Dryden","0","Aureng-Zebe","","","https://texts.earlyprint.org/works/A36602.xml","","","","","1676","0","false","","","","","","","","","1676","","0","0","0","0","0","","","","5","4","5","0","29735","24866","706","0","2898"
"dryden-cleomenes-the-spartan-hero","eng000664","Q108195487","Dryden","0","Cleomenes, The Spartan Hero","","","https://texts.earlyprint.org/works/A36609.xml","","","","","1692","0","false","","","","","","","","","1692","","0","0","0","0","0","","","","10","1","5","9","36602","19839","861","5","2388"
